Algorithm,Execution Time,Memory Usage
Hashing,0.020945072174072266,448.0
Merge Sort,1.158947229385376,480.0
Quick Sort,0.02250194549560547,16.0
Bubble Sort,38.298919916152954,80.0
Count Sort,0.011675834655761719,0.0
Stack,0.020553112030029297,32.0
Queue,0.006476163864135742,16.0
