Algorithm,Execution Time,Memory Usage
Hashing,0.021471023559570312,544.0
Merge Sort,1.173110008239746,496.0
Quick Sort,0.02284526824951172,0.0
Bubble Sort,38.8933801651001,15488.0
Count Sort,0.011916637420654297,336.0
Stack,0.020595073699951172,48.0
Queue,0.006145000457763672,0.0
